epoch,training_reward,validation_reward,q_table_size,unique_states
0,1390,1890,9,9
1,1825,,14,12
2,1895,,16,13
3,2065,,16,6
4,1940,,17,15
5,2120,,17,7
6,2165,,17,6
7,1690,,17,12
8,1855,,17,13
9,1830,,17,10
10,2090,1450,17,10
11,2050,,17,6
12,1190,,17,11
13,2325,,17,11
14,2110,,17,11
15,1740,,17,11
16,1770,,17,13
17,1475,,17,13
18,1165,,17,11
19,2375,,17,8
20,2240,2910,17,9
21,1860,,17,12
22,1495,,17,7
23,2085,,17,11
24,1945,,17,10
25,2150,,17,10
26,1175,,17,12
27,2065,,17,8
28,2755,,18,7
29,2160,,18,10
30,2510,3300,18,2
31,1545,,18,10
32,1240,,18,10
33,2175,,18,5
34,2105,,18,9
35,2040,,18,15
36,1850,,18,10
37,2305,,18,13
38,1845,,18,13
39,1855,,18,10
40,1745,3160,18,11
41,2245,,18,11
42,2240,,18,10
43,1690,,18,12
44,2545,,18,6
45,2065,,18,10
46,2420,,18,7
47,1250,,18,13
48,2455,,18,7
49,1100,,18,11
50,2250,3365,18,12
51,2315,,18,13
52,2025,,18,10
53,2010,,18,14
54,2515,,18,10
55,2075,,18,12
56,2285,,18,10
57,2395,,19,6
58,1570,,19,9
59,1950,,19,9
60,2160,2910,19,8
61,2055,,19,12
62,1910,,19,9
63,1500,,19,9
64,1910,,20,15
65,2060,,20,2
66,2060,,20,13
67,2095,,20,9
68,1610,,20,12
69,2095,,20,8
70,1675,2875,20,10
71,2155,,20,6
72,1630,,20,10
73,1725,,20,14
74,2130,,20,1
75,1850,,20,15
76,2100,,20,10
77,1690,,20,15
78,1805,,20,9
79,2215,,20,9
80,1725,2890,20,10
81,2045,,20,11
82,2120,,20,8
83,1935,,20,11
84,2030,,20,12
85,2105,,20,11
86,2380,,20,5
87,1990,,20,11
88,2275,,20,12
89,2150,,20,9
90,2360,2900,20,8
91,2210,,20,12
92,2300,,20,8
93,1770,,20,15
94,2350,,20,10
95,2315,,20,10
96,2255,,20,10
97,2325,,20,12
98,2395,,20,9
99,2345,,20,9
100,2440,2830,20,9
101,2585,,20,10
102,2560,,20,7
103,2455,,20,9
104,2375,,20,8
105,2585,,20,14
106,2505,,20,16
107,2715,,20,15
108,2530,,20,11
109,2700,,20,13
110,2735,2850,20,8
111,2675,,20,8
112,2360,,21,15
113,2855,,21,8
114,2830,,21,6
115,2745,,21,8
116,2685,,21,8
117,2860,,21,7
118,2670,,21,6
119,2455,,21,9
120,2680,2755,21,9
121,2590,,21,11
122,2575,,21,10
123,2720,,21,8
124,2660,,21,7
125,2705,,21,5
126,2730,,21,7
127,2720,,21,5
128,2685,,21,9
129,2615,,21,8
130,3000,2505,21,7
131,2710,,21,7
132,2735,,21,8
133,2680,,21,13
134,2760,,21,11
135,2745,,21,10
136,2770,,21,11
137,2825,,21,6
138,2805,,21,8
139,2830,,21,12
140,2750,1795,21,8
141,2810,,21,7
142,2715,,21,9
143,2820,,21,6
144,2795,,21,6
145,2720,,21,11
146,2755,,21,8
147,2775,,21,7
148,2830,,21,7
149,2880,,21,7
150,2810,2825,21,7
151,2745,,21,6
152,2760,,21,8
153,2610,,21,7
154,2815,,21,7
155,2690,,21,7
156,2815,,21,7
157,2810,,21,6
158,2835,,21,5
159,2855,,21,7
160,2805,2775,21,6
161,2705,,21,12
162,2840,,21,9
163,2750,,21,7
164,2765,,21,6
165,2810,,21,6
166,2730,,21,7
167,2790,,21,9
168,2675,,21,6
169,2850,,21,7
170,2695,1185,21,9
171,2815,,21,5
172,2790,,21,9
173,2800,,21,7
174,1805,,21,15
175,2620,,21,8
176,2750,,21,6
177,2580,,21,14
178,2765,,21,7
179,2760,,21,7
180,2755,2735,21,8
181,2805,,21,8
182,2800,,21,5
183,2745,,21,7
184,2750,,21,8
185,2825,,21,8
186,2750,,21,13
187,2800,,21,10
188,2780,,21,7
189,2795,,21,9
190,2820,2720,21,6
191,2810,,21,6
192,2780,,21,12
193,2810,,21,8
194,2915,,21,6
195,2740,,21,9
196,2810,,21,6
197,2795,,21,7
198,1230,,21,6
199,2750,,21,7
